Double Play Restaurant,37.7653419,-122.410774,http://s3-media1.ak.yelpcdn.com/bphoto/jjxP6iFv3t5n3YFoRdKRtg/ms.jpg,2401 16th St,San Francisco,CA,94103,Mission
Giordano Bros,37.7650144,-122.4222742,http://s3-media2.ak.yelpcdn.com/bphoto/x9NknMBgug_f6YIAQ96_kg/ms.jpg,3108 16th St,San Francisco,CA,94110,Mission
Nickies,37.7722958,-122.4298718,http://s3-media1.ak.yelpcdn.com/bphoto/XmFN_BQ95L2aZ3d6eILDXg/ms.jpg,466 Haight St,San Francisco,CA,94117,Lower Haight/Hayes Valley
Ted's Sports Bar & Grill,37.7753479,-122.4028219,http://s3-media1.ak.yelpcdn.com/bphoto/GOF9y1xFrxJTUkhvAM3hGA/ms.jpg,312 Harriet St,San Francisco,CA,94103,SoMa
Danny Coyle's,37.7719359641184,-122.433228492737,http://s3-media2.ak.yelpcdn.com/bphoto/NRlHVUrepTTMF9KGnaT94Q/ms.jpg,668 Haight St,San Francisco,CA,94117,Lower Haight
Rumors,37.775509,-122.4065576,http://s3-media2.ak.yelpcdn.com/bphoto/1-oaAcExYECdh11NCZrodg/ms.jpg,398 7th St,San Francisco,CA,94103,SoMa
Mad Dog In The Fog,37.7721451,-122.4310478,http://s3-media2.ak.yelpcdn.com/bphoto/A21RiGz8Ctus9Fl536BOYg/ms.jpg,530 Haight St,San Francisco,CA,94117,Lower Haight
The Kezar Pub,37.7678741,-122.453136,http://s3-media1.ak.yelpcdn.com/bphoto/MPI_l3qCQJu8ggCVfQNWtA/ms.jpg,770 Stanyan St,San Francisco,CA,94117,Cole Valley
The Taco Shop At Underdog's,37.7636653,-122.4776477,http://s3-media1.ak.yelpcdn.com/bphoto/a0LpGvr-lWAsnK3sjOnapA/ms.jpg,1824 Irving St,San Francisco,CA,94122,Outer Sunset
Valley Tavern,37.7514989820936,-122.433121204376,http://s3-media3.ak.yelpcdn.com/bphoto/zORQY85qUfWiIEltLOxG1g/ms.jpg,4054 24th St,San Francisco,CA,94114,Noe Valley
Union Square Sports Bar,37.784564,-122.409617,http://s3-media4.ak.yelpcdn.com/bphoto/RgVV7HSfW7b8ZLBfZFF-hQ/ms.jpg,115 Mason St,San Francisco,CA,94102,Tenderloin/Union Square
The Final Final,37.7986904,-122.4457962,http://s3-media1.ak.yelpcdn.com/bphoto/Z6PDDTIzRd-6ox_vCgJwrg/ms.jpg,2990 Baker St,San Francisco,CA,94123,Marina/Cow Hollow
Yancy's Saloon,37.764155,-122.4658171,http://s3-media3.ak.yelpcdn.com/bphoto/3xjAI_jFxqC8h03xUtV0uQ/ms.jpg,734 Irving St,San Francisco,CA,94122,Inner Sunset
Bus Stop,37.7976023,-122.4307686,http://s3-media1.ak.yelpcdn.com/bphoto/OUiWo0YxwvjIkYQ4YJfJiw/ms.jpg,1901 Union St,San Francisco,CA,94123,Marina/Cow Hollow
Shanghai Kelly's,37.7958486,-122.4216789,http://s3-media4.ak.yelpcdn.com/bphoto/ti_9IgZw_FfwzEszk8LxkA/ms.jpg,2064 Polk St,San Francisco,CA,94109,Nob Hill
Public House,37.7781428,-122.3908715,http://s3-media3.ak.yelpcdn.com/bphoto/R3oLUIVQ7XLbiqEEEJKy8Q/ms.jpg,24 Willie Mays Plz,San Francisco,CA,94107,SoMa
Steff's Sports Bar,37.7874772,-122.3990725,http://s3-media1.ak.yelpcdn.com/bphoto/WysMBpnXQ-Y2hJkAT4vEyQ/ms.jpg,141 2nd St,San Francisco,CA,94105,Financial District
Pete's Tavern,37.779507,-122.39071,http://s3-media4.ak.yelpcdn.com/bphoto/1VnpcqAmlPLUoZnfsJqV7g/ms.jpg,128 King St,San Francisco,CA,94107,SoMa
The Phoenix Bar & Irish Gathering House,37.7598267,-122.4213035,http://s3-media4.ak.yelpcdn.com/bphoto/6ew5mLILg4Zm11SO8W78uQ/ms.jpg,811 Valencia St,San Francisco,CA,94110,Mission
The Red Jack Saloon,37.8059884,-122.409734,http://s3-media2.ak.yelpcdn.com/bphoto/nj0tALdGTPLB8AYM2wit9Q/ms.jpg,131 Bay St,San Francisco,CA,94133,North Beach/Telegraph Hill
